0, -82.0, 0.0, 61.0, 79.0
1, 110.0, 7.0, 67.0, 88.0
2, -222.0, 27.0, 48.0, 74.0
3, 83.0, 0.0, 55.0, 71.0
4, 137.0, -9.0, 59.0, 57.0
5, 6.0, 3.0, 54.0, 87.0
6, -123.0, -11.0, 74.0, 77.0
7, 113.0, -5.0, 63.0, 104.0
8, -117.0, 19.0, 52.0, 68.0
9, 118.0, -4.0, 48.0, 67.0
10, -81.0, 7.0, 70.0, 58.0
11, 114.0, 0.0, 57.0, 83.0
12, -43.0, -2.0, 65.0, 89.0
13, 1.0, 3.0, 71.0, 68.0
14, -54.0, -7.0, 75.0, 79.0
15, -124.0, 0.0, 76.0, 67.0
16, 135.0, -1.0, 67.0, 58.0
17, 160.0, 11.0, 71.0, 78.0
18, -15.0, -9.0, 70.0, 84.0
19, -25.0, -9.0, 75.0, 95.0
20, 68.0, 14.0, 60.0, 76.0
21, 28.0, 28.0, 60.0, 80.0
22, -2.0, 8.0, 60.0, 60.0
23, -90.0, -7.0, 80.0, 88.0
24, 175.0, 0.0, 69.0, 70.0
25, 24.0, 16.0, 85.0, 70.0
26, 4.0, 11.0, 89.0, 85.0
27, -55.0, -3.0, 55.0, 66.0
28, 121.0, -9.0, 73.0, 71.0
29, -176.0, -3.0, 81.0, 75.0
30, -20.0, -7.0, 63.0, 67.0
31, -102.0, 3.0, 58.0, 72.0
32, 101.0, 11.0, 84.0, 68.0
33, 152.0, -6.0, 71.0, 54.0
34, -159.0, -1.0, 61.0, 93.0
35, 154.0, -25.0, 71.0, 66.0
36, -72.0, 13.0, 92.0, 77.0
37, -18.0, -7.0, 67.0, 69.0
38, 90.0, -1.0, 63.0, 83.0
39, -107.0, 10.0, 76.0, 79.0
40, -7.0, 0.0, 73.0, 69.0
41, 90.0, 5.0, 72.0, 60.0
42, 23.0, 0.0, 67.0, 70.0
43, -271.0, -10.0, 87.0, 62.0
44, 136.0, -2.0, 72.0, 81.0
45, -16.0, 13.0, 61.0, 57.0
46, -131.0, -6.0, 78.0, 74.0
47, -94.0, 10.0, 38.0, 97.0
48, -103.0, 1.0, 72.0, 72.0
49, 161.0, 7.0, 76.0, 73.0
50, -37.0, 0.0, 62.0, 89.0
51, -115.0, -7.0, 69.0, 66.0
52, -127.0, 11.0, 93.0, 63.0
53, 211.0, -17.0, 77.0, 78.0
54, 54.0, -9.0, 76.0, 70.0
55, 2.0, -2.0, 73.0, 67.0
56, -27.0, 0.0, 62.0, 74.0
57, -46.0, 5.0, 45.0, 88.0
58, 29.0, 6.0, 62.0, 82.0
59, 68.0, 1.0, 86.0, 68.0
60, -72.0, 2.0, 84.0, 70.0
61, 26.0, 31.0, 65.0, 65.0
62, -175.0, -3.0, 54.0, 71.0
63, 67.0, 0.0, 82.0, 54.0
64, -49.0, -4.0, 74.0, 60.0
65, -116.0, 16.0, 73.0, 85.0
66, 48.0, -12.0, 60.0, 60.0
67, 23.0, 6.0, 71.0, 65.0
68, -58.0, -3.0, 58.0, 69.0
69, -169.0, 9.0, 79.0, 82.0
70, -4.0, 20.0, 62.0, 94.0
71, -276.0, 1.0, 70.0, 79.0
72, 240.0, 21.0, 67.0, 54.0
73, -106.0, -14.0, 57.0, 78.0
74, -24.0, 21.0, 71.0, 67.0
75, 54.0, -5.0, 66.0, 75.0
76, 45.0, -4.0, 47.0, 74.0
77, -96.0, -11.0, 66.0, 81.0
78, 123.0, 14.0, 65.0, 78.0
79, -124.0, 7.0, 72.0, 78.0
80, -116.0, 15.0, 78.0, 68.0
81, 37.0, -6.0, 77.0, 74.0
82, 188.0, 1.0, 67.0, 73.0
83, 30.0, 2.0, 67.0, 68.0
84, -54.0, 3.0, 76.0, 56.0
85, 19.0, 11.0, 71.0, 65.0
86, -23.0, 15.0, 77.0, 73.0
87, 108.0, 0.0, 72.0, 86.0
88, -56.0, 0.0, 62.0, 74.0
89, -111.0, -2.0, 82.0, 83.0
90, 254.0, 0.0, 63.0, 72.0
91, -117.0, 15.0, 61.0, 75.0
92, -83.0, 7.0, 63.0, 62.0
93, 96.0, -9.0, 92.0, 57.0
94, 162.0, -7.0, 52.0, 76.0
95, -67.0, 0.0, 76.0, 56.0
96, -285.0, 9.0, 67.0, 65.0
97, 24.0, 10.0, 76.0, 77.0
98, -92.0, -11.0, 71.0, 66.0
99, 155.0, -4.0, 76.0, 72.0
100, -37.0, 8.0, 79.0, 82.0
101, -154.0, 14.0, 67.0, 62.0
102, 127.0, 6.0, 44.0, 81.0
103, -50.0, -2.0, 54.0, 76.0
104, 35.0, -7.0, 85.0, 66.0
105, 223.0, 2.0, 82.0, 68.0
106, -68.0, 4.0, 68.0, 72.0
107, 62.0, 0.0, 54.0, 66.0
108, 229.0, 3.0, 83.0, 56.0
109, 106.0, -2.0, 81.0, 70.0
110, 61.0, 24.0, 62.0, 78.0
111, -143.0, 7.0, 50.0, 52.0
